2026-04-02 06:30:01,918 | INFO | ali1688_goods_monitor | ============================================================
2026-04-02 06:30:01,918 | INFO | ali1688_goods_monitor | 🚀 开始1688竞品监控任务
2026-04-02 06:30:01,920 | INFO | ali1688_goods_monitor | ============================================================
2026-04-02 06:30:03,381 | INFO | ali1688_goods_monitor | 浏览器初始化成功
2026-04-02 06:30:21,997 | INFO | ali1688_goods_monitor | 📦 共找到 272 个商品ID，将分批查询（每批10个）
2026-04-02 06:30:30,074 | INFO | ali1688_goods_monitor | ❎ 已关闭引导弹窗2
2026-04-02 06:30:30,652 | INFO | ali1688_goods_monitor | ============================================================
2026-04-02 06:30:30,653 | INFO | ali1688_goods_monitor | 📊 第一阶段：获取商品基本信息
2026-04-02 06:30:30,654 | INFO | ali1688_goods_monitor | ============================================================
2026-04-02 06:30:30,654 | INFO | ali1688_goods_monitor | 🔍 处理第 1/14 批，共 20 个商品
2026-04-02 06:30:30,654 | INFO | ali1688_goods_monitor | 📋 商品ID: 971080031926、968280048908、943395574791、833661915665、982634945037、1016515592011、979203908708、835170979856、971037620206、1003272185431、617837580726、1005984550667、807432916292、928700805986、903613869442、1026068947837、954713432833、798059727032、812259607012、1007173826384
2026-04-02 06:30:30,655 | INFO | ali1688_goods_monitor | 🧩 选择搜索方式: 商品ID
2026-04-02 06:30:31,127 | INFO | ali1688_goods_monitor | 搜索的商品id是:971080031926、968280048908、943395574791、833661915665、982634945037、1016515592011、979203908708、835170979856、971037620206、1003272185431、617837580726、1005984550667、807432916292、928700805986、903613869442、1026068947837、954713432833、798059727032、812259607012、1007173826384
2026-04-02 06:30:32,226 | INFO | ali1688_goods_monitor | ✅ 第 1 批筛选条件已设置
2026-04-02 06:30:35,227 | INFO | ali1688_goods_monitor | 开始获取商品:971080031926、968280048908、943395574791、833661915665、982634945037、1016515592011、979203908708、835170979856、971037620206、1003272185431、617837580726、1005984550667、807432916292、928700805986、903613869442、1026068947837、954713432833、798059727032、812259607012、1007173826384的基本信息
2026-04-02 06:30:35,229 | INFO | ali1688_goods_monitor | ⏳ 等待点击【开始查询】并捕获 offerSearch 接口...
2026-04-02 06:30:35,575 | INFO | ali1688_goods_monitor | 商品列表返回码: 200
